Credit_History,Loan_Amount_Term,Is_Standard_Term,Income_to_LoanTerm_Interaction,Property_Area_Semiurban,Property_Area_Urban,Married,Education,Dependents,Loan_Status
1,0.0,1,0.21652608303988208,0,1,0,1,0,1
1,0.0,1,0.2957988698714274,0,0,1,1,1,0
1,0.0,1,-0.716730816476947,0,1,1,1,0,1
1,0.0,1,-0.08091065432806487,0,1,1,0,0,1
1,0.0,1,0.2659896814347719,0,1,0,1,0,1
1,0.0,1,1.4495127344197853,0,1,1,1,2,1
1,0.0,1,-0.43862091556793054,0,1,1,0,0,1
0,0.0,1,0.11530587175497502,1,0,1,1,3,0
1,0.0,1,0.11268528376054378,0,1,1,1,2,1
1,0.0,1,2.413356809434117,1,0,1,1,1,0
1,0.0,1,-0.42191466710343134,0,1,1,1,2,1
1,0.0,1,-0.27778232740971254,0,1,1,1,2,1
1,0.0,1,1.9624928343297028,0,1,1,1,2,1
1,0.0,1,-0.16214888215543363,0,0,0,1,0,0
1,-240.0,0,-1.4390303824420605,0,1,1,1,2,1
1,0.0,1,-0.0779624928343297,0,1,0,1,0,1
1,-120.0,0,-0.9141484453907679,0,1,0,0,1,1
0,0.0,1,-0.5496683318319548,0,1,0,1,0,0
1,0.0,1,-0.09859962329047581,0,0,1,0,0,0
1,0.0,1,0.29874703136516256,0,1,1,1,0,1
0,0.0,1,0.8097616902792564,0,1,1,0,0,0
1,0.0,1,2.093849807550569,0,1,1,1,1,1
0,0.0,1,-0.22176725902874458,1,0,1,0,0,0
0,0.0,1,0.030791908934567194,0,0,1,0,2,0
1,0.0,1,0.47629186798787976,1,0,1,1,1,0
1,0.0,1,1.4321513389566785,1,0,1,1,0,1
1,0.0,1,-0.044549995905331256,1,0,1,1,0,1
1,0.0,1,0.02555073294570469,0,1,1,0,2,1
1,0.0,1,-1.227090328392433,0,1,0,0,0,0
1,0.0,1,0.21128490705101957,1,0,0,1,2,1
1,0.0,1,0.7688150028662681,0,1,1,1,1,0
1,0.0,1,-0.6620260420931947,0,1,0,1,0,0
1,0.0,1,-0.16247645565473753,0,0,0,1,1,0
1,0.0,1,-0.006879043485382033,1,0,1,1,0,1
1,0.0,1,2.413356809434117,0,0,0,1,3,0
1,0.0,1,-0.27712718041110473,0,1,1,1,0,1
0,0.0,1,-0.6649742035869298,0,1,1,1,0,0
1,0.0,1,-0.02030955695684219,1,0,1,1,0,1
1,0.0,1,2.0270248136925724,0,1,0,1,0,1
1,0.0,1,0.07468675784129064,1,0,0,0,0,1
1,0.0,1,-0.5201867168946033,0,1,0,1,0,0
1,0.0,1,-0.7124723609859962,0,1,0,1,0,1
1,0.0,1,-0.9132749160592908,0,1,1,1,0,1
1,0.0,1,0.35672754074195395,1,0,1,1,0,1
1,0.0,1,-0.1614937351568258,0,1,1,0,0,1
1,0.0,1,-0.5824256817623454,0,1,0,1,0,1
1,0.0,1,0.15101138317910082,0,1,1,1,1,1
1,0.0,1,0.2073540250593727,0,1,1,1,0,1
0,0.0,1,0.293833428875604,0,1,1,1,0,0
1,0.0,1,0.35607239374334615,1,0,0,1,0,1
1,0.0,1,-0.5293587748751126,1,0,1,0,0,1
1,0.0,1,-0.6885594955368111,1,0,0,1,0,1
1,0.0,1,-0.31381541233314225,1,0,0,1,0,0
1,0.0,1,-0.1873720416018344,0,1,1,1,2,0
0,0.0,1,2.0676439276062566,0,1,1,1,1,0
1,0.0,1,-0.430104004586029,1,0,1,1,2,1
